task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
a4_load_data,2024-05-29T19:22:08,a4_emissions,ab5c8367-55ec-4883-b0ab-57c798d796ff,0.054265737533569336,5.185732087970777e-07,9.125537801661513e-06,42.5,0.0,141.20075225830078,6.694621509975858e-07,0,2.2048253857064993e-06,2.874287536704085e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
a4_classify_data,2024-05-29T19:27:21,a4_emissions,ab5c8367-55ec-4883-b0ab-57c798d796ff,313.2498514652252,0.002883880721264343,9.20635469239019e-06,42.5,0.0,141.20075225830078,0.0036980763761533635,0,0.012286363764322322,0.01598444014047569,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
