,Filename,RelFreq Noun,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORGS
0,0103.b2.txt,2044.44,1084.44,560.0,373.33,3,0,0
1,0134.b2.txt,1711.64,919.06,1180.44,623.95,3,0,0
2,0139.b2.txt,1520.09,1226.93,901.19,466.88,2,0,0
3,0140.b2.txt,1946.11,988.02,588.82,508.98,4,0,0
4,0165.b2.txt,1892.13,1007.96,751.55,300.62,1,0,0
5,0200.b2.txt,1742.0,1129.94,1016.95,593.22,2,0,0
6,0300.b2.txt,1720.43,1308.24,815.41,367.38,2,0,0
7,0308.b2.txt,1548.49,1002.44,904.65,635.7,1,0,0
8,0310.b2.txt,2290.62,938.45,504.54,444.0,5,0,0
9,0313.b2.txt,1497.28,1031.81,868.89,473.24,6,1,0
10,1003.b2.txt,1772.32,1190.17,789.13,375.16,7,0,0
11,1006.b2.txt,1787.59,998.95,630.91,441.64,0,0,0
12,1006.b2i.txt,1787.59,998.95,630.91,441.64,0,0,0
13,1021.b2.txt,1971.33,1030.47,636.2,349.46,6,0,0
14,1023.b2.txt,1488.16,935.74,698.99,473.51,5,1,0
15,1057.b2.txt,1767.79,1116.1,704.12,486.89,1,0,0
16,1097.b2.txt,1746.27,985.07,679.1,522.39,4,0,0
17,1100.b2.txt,1485.71,1051.43,731.43,457.14,4,0,0
18,1104.b2.txt,1842.11,1062.38,545.81,467.84,2,0,0
19,1104.b2i.txt,1842.11,1062.38,545.81,467.84,2,0,0
20,1112.b2.txt,1855.35,919.81,581.76,345.91,17,0,0
21,1508.b2.txt,1431.28,1336.49,597.16,312.8,4,0,0
22,1520.b2.txt,1735.54,1190.08,611.57,421.49,5,0,0
23,1528.b2.txt,1681.49,1040.93,818.51,284.7,6,0,0
24,1532.b2.txt,1459.85,976.28,903.28,501.82,11,1,0
25,1533.b2.txt,1779.72,1196.21,707.51,299.05,7,0,0
26,1541.b2.txt,1981.23,865.48,886.34,594.37,2,0,0
27,2012.b2.txt,1804.51,880.77,751.88,214.82,2,0,0
28,2019.b2.txt,1626.51,1156.63,795.18,554.22,1,0,0
29,2028.b2.txt,1868.51,1280.28,795.85,357.55,2,0,0
30,2028.b2i.txt,1847.21,1265.68,786.77,353.48,2,0,0
31,2030.b2.txt,1558.44,1357.73,590.32,554.9,0,0,0
32,2032.b2.txt,1904.07,1046.51,755.81,348.84,2,0,0
33,2034.b2.txt,1741.74,1036.04,525.53,510.51,4,0,0
34,2066.b2.txt,2088.61,1151.9,898.73,493.67,3,0,0
35,2070.b2.txt,1622.68,1173.02,723.36,488.76,6,0,0
36,2070.b2i.txt,1617.93,1169.59,721.25,487.33,7,0,0
37,3013.b2.txt,1568.86,994.01,682.63,395.21,7,0,0
38,3020.b2.txt,1775.61,1082.93,546.34,253.66,2,0,0
39,3501.b2.txt,1668.44,892.67,605.74,265.67,5,0,0
40,3503.b2.txt,2094.59,934.68,754.5,349.1,4,1,0
41,3504.b2.txt,2026.39,1065.03,659.75,320.45,7,0,0
42,3505.b2.txt,1834.76,1169.53,751.07,418.45,5,0,0
43,3506.b2.txt,1784.95,1053.76,580.65,408.6,3,0,0
44,3507.b2.txt,1668.04,974.4,941.37,363.34,3,0,0
45,3508.b2.txt,1983.87,1064.52,822.58,338.71,4,0,0
46,3509.b2.txt,1898.48,1005.08,781.73,507.61,3,0,0
47,3511.b2.txt,1909.5,1104.07,570.14,398.19,4,0,0
48,3518.b2.txt,1281.53,1271.44,565.09,312.82,8,1,0
49,3519.b2.txt,1630.43,1195.65,661.23,380.43,5,0,0
50,3520.b2.txt,1969.94,1068.04,680.38,348.1,4,0,0
51,3522.b2.txt,1920.2,1047.38,785.54,536.16,5,0,0
52,3523.b2.txt,2255.51,1163.0,687.22,325.99,2,0,0
53,3525.b2.txt,1780.35,1098.27,809.25,404.62,5,0,0
54,4012.b2.txt,1946.05,1059.73,635.84,462.43,0,0,0
55,4036.b2.txt,1671.21,971.84,762.94,435.97,10,2,0
56,4038.b2.txt,1949.95,1324.3,521.38,500.52,2,0,0
