,Filename,RelFreq Noun,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORGS
0,0102.a4.txt,1555.34,1106.87,562.98,343.51,10,0,0
1,0103.a4.txt,984.37,1181.24,411.12,295.31,11,0,0
2,0104.a4.txt,1471.14,1108.01,642.46,381.75,4,0,0
3,0105.a4.txt,1391.69,1133.56,538.72,718.29,6,0,0
4,0106.a4.txt,1362.32,1062.8,705.31,405.8,7,0,0
5,0107.a4.txt,1513.03,1302.61,651.3,430.86,5,0,0
6,0108.a4.txt,1425.99,1290.61,613.72,388.09,8,0,0
7,0109.a4.txt,1648.35,1126.37,650.18,384.62,3,0,0
8,0110.a4.txt,1769.41,1141.55,605.02,331.05,3,0,0
9,0111.a4.txt,1409.19,1210.86,668.06,386.22,4,0,0
10,0112.a4.txt,1414.04,1169.89,539.17,386.57,1,0,0
11,0115.a4.txt,1853.87,839.69,708.83,512.54,3,0,0
12,0119.a4.txt,1532.77,1342.49,465.12,359.41,2,0,0
13,0120.a4.txt,1258.74,1358.64,539.46,329.67,5,0,0
14,0121.a4.txt,1376.99,1074.73,596.14,453.4,9,0,0
15,0122.a4.txt,1636.24,1032.3,603.93,400.28,7,0,0
16,0127.a4.txt,1207.9,1126.6,522.65,638.79,6,0,0
17,0128.a4.txt,1806.26,1089.81,514.63,383.45,3,0,0
18,0130.a4.txt,1613.49,984.5,474.02,492.25,7,0,0
19,0134.a4.txt,1296.64,988.81,764.93,345.15,4,0,0
20,0135.a4.txt,1648.82,995.72,706.64,567.45,8,0,0
21,0136.a4.txt,1337.34,1119.46,623.59,315.55,9,1,0
22,0137.a4.txt,1753.81,980.39,533.77,392.16,5,0,0
23,0139.a4.txt,1383.93,825.89,758.93,301.34,6,0,0
24,0140.a4.txt,1395.1,1033.01,543.13,436.63,7,0,0
25,0149.a4.txt,1374.18,1165.97,684.12,327.19,6,0,0
26,0156.a4.txt,1236.75,1260.31,506.48,447.59,3,0,0
27,0157.a4.txt,1373.57,1061.39,707.6,561.91,7,0,0
28,0158.a4.txt,1376.15,1082.57,669.72,559.63,6,0,0
29,0159.a4.txt,1544.48,1055.72,625.61,459.43,7,0,0
30,0161.a4.txt,1618.22,1075.58,726.74,281.01,4,0,0
31,0165.a4.txt,1838.57,1004.48,403.59,394.62,7,0,0
32,0168.a4.txt,1488.69,1017.59,628.14,471.11,14,0,0
33,0169.a4.txt,1453.18,1259.42,710.44,344.46,3,0,0
34,0171.a4.txt,1404.88,1004.88,604.88,341.46,8,0,0
35,0175.a4.txt,1536.08,1061.86,701.03,402.06,7,0,0
36,0176.a4.txt,1563.39,981.89,581.51,524.31,10,0,0
37,0177.a4.txt,1080.85,1395.74,731.91,510.64,6,0,0
38,0178.a4.txt,1719.01,1057.85,702.48,446.28,4,0,0
39,0179.a4.txt,1739.98,1036.17,899.32,215.05,10,0,0
40,0185.a4.txt,1603.68,1133.81,694.59,337.08,8,0,0
41,0186.a4.txt,1506.41,1228.63,534.19,341.88,2,0,0
42,0187.a4.txt,1364.63,1320.96,524.02,327.51,4,0,0
43,0188.a4.txt,1660.55,1009.17,605.5,458.72,6,0,0
44,0190.a4.txt,1323.08,1035.9,471.79,338.46,4,1,0
45,0192.a4.txt,1753.65,1179.54,438.41,354.91,2,0,0
46,0193.a4.txt,1450.07,1032.83,451.44,253.08,6,0,0
47,0194.a4.txt,1658.34,1168.83,569.43,389.61,7,0,0
48,0195.a4.txt,1581.49,1118.61,376.08,318.23,5,0,0
49,0196.a4.txt,1231.72,1193.23,577.37,415.7,5,0,0
50,0197.a4.txt,1375.77,1201.23,472.28,400.41,6,0,0
51,0198.a4.txt,1115.38,1125.0,423.08,355.77,4,0,0
52,0199.a4.txt,1621.03,941.95,722.89,405.26,8,0,0
53,0200.a4.txt,1458.12,1292.66,548.09,641.16,4,0,0
54,0202.a4.txt,1373.8,1448.35,362.09,191.69,2,0,0
55,0204.a4.txt,1459.77,1068.97,528.74,367.82,7,0,0
56,0205.a4.txt,1392.0,1056.0,528.0,464.0,11,0,0
57,0206.a4.txt,1138.93,1033.93,630.05,420.03,7,0,0
58,0208.a4.txt,1012.66,1385.37,506.33,569.62,7,0,0
59,0213.a4.txt,1711.07,1055.33,502.05,481.56,3,1,0
60,0214.a4.txt,1237.79,1292.07,542.89,597.18,8,0,0
61,0215.a4.txt,1711.78,939.49,581.21,310.51,11,0,0
62,0216.a4.txt,1432.23,1287.3,468.88,289.86,8,0,0
63,0218.a4.txt,1228.6,1158.11,614.3,211.48,5,1,0
64,0219.a4.txt,1213.39,1182.01,763.6,617.15,7,0,0
65,0222.a4.txt,1658.08,1204.94,597.32,422.25,3,0,0
66,0223.a4.txt,1351.08,1360.95,453.65,384.62,5,0,0
67,0224.a4.txt,1309.75,1111.11,664.18,366.23,8,0,0
68,0227.a4.txt,1716.48,1111.11,406.13,321.84,8,0,0
69,0234.a4.txt,1613.59,976.65,743.1,520.17,9,0,0
70,0235.a4.txt,1445.03,1151.83,649.21,293.19,5,0,0
71,0237.a4.txt,1465.97,1193.72,732.98,460.73,3,0,0
