,Filename,RelFreq Noun,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORGS
0,0106.b7.txt,1741.34,1242.36,824.85,509.16,0,1,0
1,0107.b7.txt,1611.11,1066.67,1022.22,533.33,0,1,0
2,0137.b7.txt,2084.56,953.79,806.29,344.15,4,1,0
3,0151.b7.txt,1905.35,1058.53,896.64,435.87,2,0,0
4,0157.b7.txt,1252.9,1206.5,870.07,580.05,5,1,0
5,0158.b7.txt,1801.39,1212.47,727.48,484.99,1,1,0
6,0178.b7.txt,1955.48,1009.54,938.0,707.47,4,0,0
7,0185.b7.txt,1793.59,1142.28,811.62,611.22,1,0,0
8,0186.b7.txt,1690.14,1079.81,727.7,633.8,0,0,0
9,0198.b7.txt,1995.16,1064.09,798.07,495.77,0,0,0
10,0219.b7.txt,2066.67,988.89,1000.0,577.78,1,1,0
11,0223.b7.txt,1955.8,1027.62,850.83,441.99,0,0,0
12,0224.b7.txt,2067.57,1013.51,932.43,324.32,1,1,0
13,0238.b7.txt,1666.67,1170.89,706.75,548.52,1,0,0
14,0318.b7.txt,2044.27,898.44,807.29,507.81,1,0,0
