,Filename,RelFreq Noun,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORGS
0,0101.a3.txt,1950.95,1081.38,735.79,445.93,1,0,0
1,0102.a3.txt,1804.6,1091.95,540.23,367.82,2,0,0
2,0103.a3.txt,1985.71,871.43,1028.57,571.43,7,0,0
3,0104.a3.txt,1614.52,1088.86,613.27,525.66,2,0,0
4,0105.a3.txt,1651.95,1286.25,630.52,781.84,2,0,0
5,0106.a3.txt,2173.38,940.17,744.81,586.08,1,0,0
6,0107.a3.txt,2198.76,1018.63,844.72,472.05,4,0,0
7,0109.a3.txt,1884.42,1243.72,439.7,402.01,2,0,0
8,0110.a3.txt,1985.2,1233.05,665.84,493.22,2,0,0
9,0111.a3.txt,1906.01,1148.83,522.19,391.64,3,0,0
10,0112.a3.txt,2021.03,1039.72,712.62,630.84,1,0,0
11,0115.a3.txt,2177.84,1159.79,657.22,695.88,0,0,0
12,0118.a3.txt,2496.33,1086.64,866.37,337.74,0,0,0
13,0119.a3.txt,2086.85,1085.65,723.76,458.38,1,0,0
14,0120.a3.txt,2073.34,1001.41,916.78,535.97,0,0,0
15,0121.a3.txt,1842.78,992.27,463.92,554.12,2,0,0
16,0122.a3.txt,2321.64,1076.18,665.05,447.4,0,0,0
17,0125.a3.txt,2054.12,910.21,1008.61,467.4,3,0,0
18,0127.a3.txt,1834.48,979.31,717.24,524.14,8,0,0
19,0128.a3.txt,1955.09,1122.85,501.98,634.08,3,0,0
20,0130.a3.txt,1535.84,967.01,671.22,705.35,2,0,0
21,0131.a3.txt,2119.7,1047.38,698.25,698.25,0,0,0
22,0133.a3.txt,1783.18,972.64,526.85,638.3,5,0,0
23,0134.a3.txt,2047.62,964.29,988.1,583.33,0,0,0
24,0135.a3.txt,1972.36,1105.53,640.7,414.57,1,0,0
25,0136.a3.txt,1979.29,1208.29,621.4,437.28,0,0,0
26,0137.a3.txt,1985.29,906.86,784.31,661.76,0,0,0
27,0138.a3.txt,2023.29,1251.82,625.91,349.34,0,0,0
28,0139.a3.txt,1971.65,1314.43,644.33,335.05,0,0,0
29,0142.a3.txt,2137.55,1133.83,966.54,297.4,0,0,0
30,0143.a3.txt,2201.62,927.0,590.96,393.97,5,0,0
31,0146.a3.txt,1530.98,1409.48,607.53,522.48,3,0,0
32,0149.a3.txt,2110.22,1153.01,572.88,630.89,0,0,0
33,0155.a3.txt,1825.05,1036.72,745.14,453.56,2,0,0
34,0156.a3.txt,1950.62,1148.15,567.9,407.41,2,0,0
35,0157.a3.txt,1423.44,1184.21,586.12,550.24,0,0,0
36,0158.a3.txt,1767.07,1178.05,749.67,481.93,2,0,0
37,0159.a3.txt,2130.95,1083.33,523.81,595.24,1,0,0
38,0161.a3.txt,2093.91,939.09,824.87,482.23,0,0,0
39,0162.a3.txt,2334.58,873.91,711.61,411.99,0,0,0
40,0163.a3.txt,1727.69,972.54,686.5,606.41,0,0,0
41,0165.a3.txt,1710.53,1195.18,603.07,460.53,4,0,0
42,0168.a3.txt,1662.37,1198.45,670.1,476.8,1,0,0
43,0169.a3.txt,2144.55,1030.81,604.27,438.39,2,0,0
44,0171.a3.txt,1771.61,1280.68,619.0,544.29,2,0,0
45,0172.a3.txt,2050.98,1066.05,753.19,428.74,1,0,0
46,0173.a3.txt,2113.26,1187.85,538.67,511.05,1,0,0
47,0174.a3.txt,1906.72,1069.96,1124.83,438.96,1,0,0
48,0175.a3.txt,1875.0,1162.5,550.0,375.0,1,0,0
