task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
a3_load_data,2024-05-29T18:55:12,a3_emissions,a71fa94f-4387-4784-8c77-c89d29f8faca,0.7020506858825684,6.4758491346365525e-06,9.200310111485087e-06,42.5,0.0,141.20075225830078,8.308366768889957e-06,0,2.7585219983188835e-05,3.589358675207879e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
a3_load_model,2024-05-29T18:55:27,a3_emissions,a71fa94f-4387-4784-8c77-c89d29f8faca,15.28605318069458,0.00014069943844309185,9.205632432118811e-06,42.5,0.0,141.20075225830078,0.0001804350208905008,0,0.0005994175350800333,0.0007798525559705342,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
a3_find_similiar_words,2024-05-29T18:55:27,a3_emissions,a71fa94f-4387-4784-8c77-c89d29f8faca,0.012949705123901367,1.1752110958644364e-07,8.995041150803096e-06,42.5,0.0,141.20075225830078,1.531514856550442e-07,0,4.98230912921848e-07,6.51382398576838e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
